SP_PRIMARY	PDB
A0A068Q5Q5	7w1d;7w1c;7w1e
A0A068QVX9	6qsp
A0A068QW34	6qsr
A0A068QWX2	6qsr
A0A068QZ94	6qsp
A0A069AL86	6i3g
A0A069AXA0	6yl7
A0A069B2G5	5l03
A0A069B8F8	7ofn
A0A069CUU9	6rim
A0A069PXX1	6spc;6spf;6spe;6spg
A0A069Q263	6spg;6spf;6spe;6spc
A0A069Q6I8	7pji
A0A069Q726	7okb
A0A069Q9V4	7psy;7prg
A0A069QB25	6spd;6spg;6spb;6spf
A0A069QC44	6spf;6spd;6spg;6spb
A0A069QC99	6spg;6spc;6spe;6spf
A0A069QEB6	6spd;6spg;6spb;6spf
A0A069QEE3	6spd;6spb;6spg;6spf
A0A069QEY1	7e6g
A0A071L356	6spg;6spd;6spf;6spb
A0A071L394	6spf;6spe;6spc;6spg
A0A071L3R7	6spg;6spc;6spe;6spf
A0A071LDC0	6jfe;6jfn;6jfc;6jfd;6jff;6jf9;6jfa
A0A071LFT4	6spb;6spd;6spg;6spf
A0A072TMB0	6mt2;6mt1
A0A072U2X9	7bgn;7bgm
A0A072VQG6	7oj5
A0A072ZBM5	6spb;6spf;6spd;6spg
A0A072ZBZ2	6spf;6spg;6spb;6spd
A0A072ZCA1	6spg;6spf;6spb;6spd
A0A072ZCW8	6qll;6qlh;6qlk;6qlv;6qlj;6qli
A0A072ZDF7	6spg;6spc;6spf;6spe
A0A072ZDZ0	6spf;6spg;6spb;6spd
A0A072ZDZ9	6spf;6spc;6spe;6spg
A0A072ZHB4	7e6g
A0A072ZIQ9	6spf;6spb;6spd;6spg
A0A072ZJG4	6spb;6spd;6spf;6spg
A0A072ZKF0	6spd;6spf;6spg;6spb
A0A072ZMU2	6spf;6spg;6spd;6spb
A0A072ZPM2	5gmb;5gm8;5gmc
A0A072ZPV8	6spf;6spc;6spg;6spe
A0A072ZTW6	7eyp
A0A073KP86	6anw;6b48
A0A074MDU6	7w8n;7cih;6kf5;6keu;6kf1;6kf7;7ci0;7cip
A0A074W9U7	6uba;6ub8;6ubb
A0A074Z863	5zfx;5zga;5zg4;5zg5
A0A075B5G0	3wtg
A0A075B5G2	4lm6
A0A075B5G3	4ov6
A0A075B5G4	4oyy;4oyl
A0A075B5G5	4p99
A0A075B5G8	4plc;4plf;4plg
A0A075B5H0	4plv;4plt;4ply
A0A075B5H2	4plh;4plw
A0A075B5H4	4tkm;4tkl
A0A075B5H6	4uoj;4cvu
A0A075B5I3	4mvb;4n0c;4mxq;4n5e
A0A075B616	5wlg
A0A075B6C4	7n5p;7n4k;3pqy;7n5c
A0A075B6E5	7lxe;7lxf
A0A075B6N1	5hhm;5hho;5nqk
A0A075B6T6	5nht;6dkp;1ao7;4zdh;5e9d
A0A075B6U7	7ndu;7ndq
A0A075BSX9	6cr0
A0A075C6T6	4nrr;4nrs
A0A075DN54	4z0y;4z11;4z12;4z0z;4z10;4z13;4z14
A0A075E2Q1	5weg
A0A075E3D7	6b7n
A0A075ETL7	6n6b
A0A075EV12	6wzt
A0A075ML49	5wpn
A0A075Q0W3	6mkg;6mka;6mkj;6mkf
A0A075R4X6	6lwy
A0A075X7F9	6gem
A0A076FT28	6qi5
A0A076FT36	6qi5
A0A076FYU8	6qi5
A0A076FYV2	6qi5
A0A076FYV7	6qi5
A0A076JB57	5f4j
A0A076JQ90	7wji
A0A076ML24	6dk2
A0A076MPD7	4yhg;4yhe
A0A076MY51	5ncb;5omu
A0A076MZ01	5ogx
A0A076N502	7k1s
A0A076NBW8	6al6;5wpp;5yvl;5wps;5wpu;5z54;6al8;5wpr;6al7
A0A076U926	5jx5;6idw
A0A076V769	6jim
A0A076YHT9	7dab
A0A076YIY5	5gzw
A0A076YWK5	6zz9;6zza
A0A077D153	7nrh;7o9s;5opg;7nks
A0A077E909	6b1z
A0A077E919	5viu
A0A077EA44	7n7s
A0A077EAN3	6auj
A0A077EBQ3	6wng
A0A077EBU6	6n0w
A0A077ECF2	6an0
A0A077EDR1	6d9n
A0A077EDS4	6aph
A0A077EEP0	6bn2
A0A077EER2	6mtk
A0A077EEZ5	6phe
A0A077EFA5	6cy1;6cy5
A0A077EGR8	6n7l
A0A077EHW1	8dt6
A0A077EJ65	6ude
A0A077EJG6	6ojm
A0A077EJK0	6udg
A0A077EJP9	7miw
A0A077ELH2	8du1
A0A077ELH4	6uzi
A0A077EMQ8	5vpr
A0A077ENB9	6c46
A0A077EQ93	6bzb;6bzc
A0A077GFB1	7krm;7krk
A0A077GKT8	7yxv
A0A077JBW9	5hrm;5ioj
A0A077JG85	6lta;6ltb;6ltc;6ltd
A0A077K7L1	5gm1;5gm2
A0A077K887	4yzj;4yzl;4yzk
A0A077KEB8	6j82;6j84;6j83
A0A077KT11	5jjq
A0A077KT80	6bn3;6bpf
A0A077KUW8	6akd
A0A077L6X8	5xfa;5xf9
A0A077L7R5	5xfa;5xf9
A0A077L885	5xfa;5xf9
A0A077LAI5	5xfa;5xf9
A0A077LQB4	4yy8
A0A077TLQ4	6zyv
A0A077UDU1	5ngm
A0A077UG91	6s12;7ttw;5t7v;7p48;6s0z;7ttu;6s13;7asm;7asp;6s0x;7aso;5ngm
A0A077UGA7	7aso;7asm;7asn;6s0x;5ngm;6s12;7asp;6s13;7p48;7ttu;7ttw;6s0z;5t7v
A0A077UGV8	7asp;6s0x;7ttw;7asm;7aso;5ngm;6s0z;7ttu;7p48;6s13;6s12;6fxc;5t7v
A0A077UGW7	5ngm;6s13;7aso;7asp;6s0x;7p48
A0A077UHS1	5ngm
A0A077UKD6	7aso;6s0x;6s13;7asp;5ngm;5t7v;7p48
A0A077UKF9	7p48;6s12;5t7v;6s0x;6s0z;6s13;5ngm
A0A077UL47	6s0x;5t7v;7p48;6s12;7asp;7asn;6s0z;6s13;5ngm;7asm
A0A077ULC5	7asp;7asn;6s13;7aso;6s0x;6s0z;6s12;7asm
A0A077URJ8	5t7v;7asn;6s0x;7asp;7ttw;7p48;6s0z;7aso;7asm;5ngm;7ttu;6s13;6s12
A0A077UU26	7asp;6s13;7aso;6s0x;5ngm;7p48
A0A077UUA0	7aso;7asp;7p48;6s12;6s0x;6s0z;7asm;7ttw;5t7v;7ttu;6s13;7asn;5ngm
A0A077UVB6	7asp;5ngm;6s0z;7ttw;7asm;6s0x;7p48;7ttu;6s13;6s12;7asn;5t7v
A0A077UWR7	7ttu;5ngm;7ttw
A0A077UXT4	7ttw;5t7v;7ttu
A0A077UZF4	5ngm;6s13;7asp;7aso;6s0x;7p48
A0A077V0P8	7aso;5ngm
A0A077V2P0	7asp;7aso;6s0x;7p48;6s13;6fxc;5ngm;6s0z;6s12;7asm;7asn
A0A077V4G0	7asp;7asn;7aso;6s0z;7p48;7ttw;5ngm;6s13;5t7v;6s0x;7asm;6s12;7ttu
A0A077VHU6	6s0x;7asp;6s13;7aso;7p48;5ngm;6fxc
A0A077VLD5	5ngm;6s13;5t7v;6s0x;7asp;7p48;7aso
A0A077VMP6	6s13;7ttw;6s0z;7aso;7asn;7ttu;5ngm;6s12;5t7v;6s0x;7asp;7p48;7asm
A0A077W1J0	7ttw;7ttu;5ngm
A0A077W1J5	6s12;6s0x;5t7v;6s13;6s0z;7aso;7asp;7asm;7asn
A0A078GRH6	6hmz
A0A078K1U6	4rmp
A0A078K4M9	4rmp
A0A078N0N2	2mmv
A0A078SSU5	6d1p
A0A078SUX9	6d50;6d8g;5uj6
A0A080IK26	6osk;6wd9;6wd3;6wd8;6vu3;6vz7;6osq;6wd4;6wd1;6vz3;7tos;6o7k;6wd0;6wd7;6wda;6wd2;6wd5
A0A080IK54	6osq
A0A080J7K8	7ot5
A0A081CEG8	5knl
A0A081GU02	6gie
A0A081U6Q6	7r7b
A0A083ZID3	6ije;6ijf
A0A083ZID4	6ijf
A0A083ZJN8	5j9r
A0A083ZKV2	7ofx;5ohs;5ohy
A0A083ZKV5	7ofy;7yzs;7qhv;7nbz;7yzu
A0A083ZM39	7cnq;7d2r;7cnp
A0A083ZM57	6eq8;6eq1;6eq0;6epz;6epy
A0A084FYP2	6trv
A0A084JZF2	6d2c;6d3u
A0A085CCI2	7tfc
A0A085GHR3	6pwd;6pwg
A0A085L0Z7	7sau
A0A085LU44	6g9c;6g9e
A0A085NFU1	6v4m
A0A085R2T8	7qxm
A0A085S0Z4	7npf
A0A086DNG8	7qgu;7qh4
A0A086HZU3	6ic4;7d09;7d06;7d08;7d0a
A0A086SLX8	5cxk
A0A086SY89	5mrj
A0A086T6R4	5m2d
A0A087D8U9	7v6i
A0A087I947	5b7h;5b70;5x0v;5b7d;5x0q
A0A087IWB4	5x0o;5x0n;5fhk
A0A087KD84	6a7i
A0A087L9L7	6spf;6spd;6spb;6spg
A0A087LGV4	6tpq;6z2b;6tgj
A0A087WNH1	3wfl
A0A087WNH2	4cuo
A0A087WNH4	7nwi;7syk;7sym;7syn;7o7y;7o7z;7syi;6fti;7qws;7obr;7uck;3jag;7syp;7nfx;7syg;6r6p;6p4h;6ftg;3jai;6yam;7mdz;7syv;7syj;5lzu;6t59;7oyd;7qwr;7o81;7syr;7syw;6zvk;6p5j;6p5n;6p4g;6r5q;7qwq;7ucj;7syl;7syo;7syu;7nwg;7syh;7syx;7a01;6r7q;6r6g;7sys;6p5i;6ftj;7o80;7syt;6p5k;6sgc;6yan;3jah;7tor;7nwh;7syq;6yal
A0A087WNH6	5m65;5m5k;5m66;6exi;4lvc;5m67
A0A087WNH8	4p15
A0A087WSZ9	5wkf;5wkh
A0A087WT01	5hho;5hhm
A0A087WT03	7ndt;5wki
A0A087X096	7ndt
A0A087X2I1	7w3f;7w3i;7w3c;7w3g;7w39;7w3m;7w38;7w3h;7w3j;7w3k;7w37;6wjd;7w3a;7w3b
A0A088BCU2	5xd0
A0A088BEK2	6idd
A0A088CB91	4rnc
A0A088E2H7	6ihe;6ihd
A0A088F913	6tsd
A0A088FL33	7v40;7v44;7v45;7v41;7v43;7v46;7v42
A0A088FLK9	6fhg
A0A088STQ5	4po4
A0A088T0J9	4zzu;4zzv;4zzt;4zzw;5amp
A0A089M3R3	6p2n
A0A089X075	7swd
A0A090A233	6ox6
A0A090BWT0	5h4s
A0A090BZT4	7qgn;6o7k;7qgr;6lkq
A0A090BZW5	6ztj;6zu1;6ztn;6zto;6ztp;6ztm
A0A090CRQ5	4y6w;4y6c
A0A090F1W4	6wns
A0A090KI56	4r4x;4r4z
A0A090KS30	7azu;6zu3;6ztu
A0A090SK43	6j76;6j75
A0A091SV96	5lus
A0A093VKV7	5fb7;5csd;6j6f
A0A094NJQ6	6pjx
A0A094XZA1	7xno
A0A094YUG1	7xno
A0A094YZ24	6lop;5yo8;6loo
A0A094ZWQ2	6b54;6uuy;6b53;5tiv;6b52;6b51;5tiy;5tix;5tiw
A0A095T5Z8	7lgn
A0A096F4H2	6uvu
A0A096LNF0	4wgg;4we3;4mkr;4nh4
A0A096LNF1	4w7i
A0A096P8D3	7e2w;6ixl;6ixn;6ixt
A0A096SRM5	6lf6
A0A096YGU7	6j5f
A0A096ZH83	6n0a
A0A096ZHB0	6bbw
A0A097ATH7	7qv7
A0A097ATJ9	7qv7
A0A097ATK5	7qv7
A0A097ATK6	7qv7
A0A097BW12	6crs;6cru;6cs4;6wds;6cs6;7ebz;6crp;6csg;6wdt;6cs5;6csa;6mzi;7l8h;6cs3;6crr;7ec5;7ecy;6csh;7ebr
A0A097BW19	7mg0
A0A097F4I8	7ckl;7ela
A0A097F4L1	7ela;6klc;7ckl
A0A097F8N9	6x2k
A0A097F8Q2	6aj7;6aj0;6aj9;6aj2;6aj3
A0A097I2B5	7n8n;7lv8
A0A097I2D0	7n8n
A0A097J792	5x33
A0A097J809	6ni3;7kwa;6e67
A0A097P1P8	6vvg
A0A097P6E1	6kv2
A0A097PBL3	7dr2;7dr0;7dr1
A0A097PF39	4o5n
A0A097PHH8	6fyu;5v2a
A0A097PIE2	5k5m
A0A097PIK3	6bwx
A0A097PUG4	6mv5;6e4y;6e4z
A0A097ZPD5	5zm4;5zm3;5zm2
A0A098DND1	6yjo
A0A098SKQ8	6jf5;6jf4
A0A0A0BZU2	6qzo
A0A0A0FFH2	7cpj;6vz7;6vzj
A0A0A0GWV9	6vz7
A0A0A0L4Q9	6wqj
A0A0A0MTJ0	7t9i;7t9n;7utz;7t9m
A0A0A0NH71	6p2o
A0A0A0NSZ7	6l3a;6l39
A0A0A0Q7Z8	6lc8;6lc7;6lc9
A0A0A0QA66	4rvp
A0A0A0R5X6	4rg8
A0A0A0RCB5	6a2a;6a2d;6a2c
A0A0A0RDR2	6k16;7e6w;6o9p;6a1i;7e9r;6a3x;6a1d;6o9q;6a1e
A0A0A0U7Z7	6djy
A0A0A0U955	6djy
A0A0A0UEE5	6djy
A0A0A0UVH9	6omp;6omr;6omq
A0A0A0UVL0	5f1p
A0A0A0V023	5unc
A0A0A0V031	5e7q;5upq;5ups;5upt
A0A0A0V2B6	2ndn
A0A0A0V633	5fzx
A0A0A0V662	5fzv
A0A0A0VBR5	5fzw
A0A0A0VBX4	4x9z
A0A0A0VDJ9	5epd
A0A0A0WDC6	6ket
A0A0A0Y4H8	4usc
A0A0A0YMQ9	5ah0
A0A0A1A394	7qvr
A0A0A1E0U0	6imj;6iml;6imn;6imk
A0A0A1EQY0	5dna;5dn9;6d4b;6d4c
A0A0A1GL90	6lcf;6lce
A0A0A1GYE8	7ju4
A0A0A1H1F6	7ju4
A0A0A1HA03	6llz;7cyw;6llw;6llg
A0A0A1I7H6	6atf;6ati;6atz
A0A0A1M9H4	7t8i
A0A0A1NDE2	5xxa
A0A0A1VBK6	5c9i;4yf9;4yfa;4yfb
A0A0A2ACP7	6rar;6ras;6rau;6rce
A0A0A3XYM8	7kym
A0A0A5IIP6	7r6u
A0A0A5P8W7	5m3z;5k30;6egr;5d5s;6s0c;5e4z
A0A0A6YVN3	3wvr;3wvq
A0A0A6YVN5	3wyd
A0A0A6YVN6	4d05
A0A0A6YVN8	4q7i
A0A0A6YX08	4n5e;4n0c;4mvb;4mxq
A0A0A7CJV4	5o02;5f4m
A0A0A7CK57	7vcj;6ky2;6ky3
A0A0A7DJ81	6hxx
A0A0A7E4R0	7dkj
A0A0A7E693	7ene
A0A0A7EMW6	6n44;6n3r
A0A0A7EQR3	6rv9;6ru2;6rtv;6ru1;6rv7;6rv8
A0A0A7GEY4	5jfq
A0A0A7GJ30	5e25;5cm0
A0A0A7HF73	6fjw
A0A0A7HFE1	6nud;6nue
A0A0A7HGA1	6nue;6nud
A0A0A7HIF0	6nue;6nud
A0A0A7HIX1	6nue;6nud
